Date;Hour;Temp;latitude;longitude;Site;Depth_m;Stratum;Author
2014-04-10;00:07:03;22.05;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;00:27:03;22.53;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;00:47:03;21.66;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;01:07:03;21;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;01:27:03;22.43;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;01:47:03;22.53;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;02:07:03;22.81;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;02:27:03;22.91;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;02:47:03;23.29;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;03:07:03;23.29;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;03:27:03;22.62;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;03:47:03;23.29;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;04:07:03;23.68;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;04:27:03;23.87;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;04:47:03;24.06;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;05:07:03;24.16;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;05:27:03;24.26;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;05:47:03;24.35;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;06:07:03;24.35;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;06:27:03;24.45;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;06:47:03;24.35;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;07:07:03;24.45;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;07:27:03;24.35;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;07:47:03;24.45;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;08:07:03;24.45;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;08:27:03;24.06;-27.48816;-48.36523;AR;5;Shallow;LT/XB
2014-04-10;08:47:03;24.35;-27.48816;-48.36523;AR;5;Shallow;LT/XB
